,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
48,"Turnbull Wine Cellars, Leopoldina Vineyard Cabernet Sauvignon, Oakville",137302,Oakville,Red,,California,Usa,,2010,False,91.75,B,5
49,"Stag'S Leap Wine Cellars, Estate Cask 23 Cabernet Sauvignon, Napa Valley",129784,Napa Valley,Red,,California,Usa,,2010,False,91.62,C+,4
50,"Cliff Lede Vineyards, Cabernet Sauvignon, Stags Leap District",43378,Stags Leap District,Red,,California,Usa,,2010,False,90.48,A,6
51,"Silverado Vineyards, Solo Cabernet Sauvignon, Stags Leap District",127659,Stags Leap District,Red,,California,Usa,,2010,False,90.4,C,4
52,"Frog'S Leap, Cabernet Sauvignon, Napa Valley",77082,Napa Valley,Red,,California,Usa,,2010,False,88.89,B,4
53,"Inglenook, Reserve Cask Cabernet Sauvignon, Napa Valley",85558,Napa Valley,Red,,California,Usa,,2010,False,88.42,B,3
54,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1995,False,92.17,B+,4
55,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,,California,Usa,,1987,False,91.34,B,3
56,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2015,False,97.59,C+,6
57,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2013,False,97.0,B,4
58,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2012,False,95.22,A,6
59,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2011,False,93.64,B+,5
60,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,1974,False,89.6,B,4
61,"La Jota Vineyard, Anniversary Heritage Release Cabernet Sauvignon, Howell Mountain",92779,Howell Mountain,Red,,California,Usa,,1996,False,94.18,A,4
62,"Continuum, Proprietary Red, Oakville",45683,Oakville,Red,,California,Usa,,2014,False,93.57,C,3
63,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1978,False,92.34,A+,6
64,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2016,False,97.74,B,3
65,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2016,False,97.34,B+,3
