index,PRCPNapa,PRCPColumbia,PRCPWalla,PRCPSonoma,PRCPSanta,PRCPYakima,PRCPDundee,year,months
0,0.07600000000000001,0.026333333333333334,0.03233333333333334,0.07366666666666667,0.10633333333333335,0.009000000000000001,0.37233333333333335,1992,January
1,0.25310344827586206,0.013793103448275865,0.044482758620689664,0.33862068965517245,0.3827586206896551,0.021379310344827585,0.2541379310344828,1992,February
2,0.13806451612903223,0.005161290322580645,0.008387096774193548,0.22612903225806455,0.1403225806451613,0.013225806451612905,0.0435483870967742,1992,March
3,0.021,0.028000000000000004,0.043666666666666666,0.030000000000000002,0.009333333333333334,0.032,0.2666666666666667,1992,April
4,0.0,0.0003225806451612903,0.004838709677419356,0.0,0.0,0.0012903225806451613,0.0012903225806451613,1992,May
5,0.036333333333333336,0.054000000000000006,0.01566666666666667,0.030666666666666665,0.018333333333333333,0.041666666666666664,0.02766666666666667,1992,June
6,0.0,0.07354838709677419,0.023870967741935485,0.0,0.0,0.014193548387096775,0.014838709677419357,1992,July
7,0.0,0.0025806451612903226,0.0,0.0,0.0006451612903225806,0.008064516129032258,0.008387096774193548,1992,August
8,0.0,0.004666666666666667,0.012333333333333333,0.001,0.0,0.009333333333333334,0.09000000000000001,1992,September
9,0.0996774193548387,0.015806451612903224,0.01935483870967742,0.14419354838709678,0.038064516129032264,0.021935483870967745,0.12225806451612903,1992,October
10,0.009310344827586208,0.03896551724137932,0.0706896551724138,0.013793103448275864,0.007931034482758621,0.03379310344827586,0.37068965517241376,1992,November
11,0.26709677419354844,0.07064516129032258,0.02516129032258065,0.3158064516129032,0.22903225806451613,0.07516129032258065,0.3861290322580645,1992,December
12,0.2966666666666667,0.032,0.02666666666666667,0.35966666666666663,0.46166666666666667,0.030333333333333334,0.29,1993,January
13,0.2096428571428571,0.02107142857142857,0.018214285714285714,0.2753571428571428,0.2864285714285714,0.023571428571428573,0.07857142857142858,1993,February
14,0.06709677419354838,0.011290322580645162,0.04096774193548387,0.08612903225806451,0.11096774193548387,0.020000000000000004,0.24483870967741928,1993,March
15,0.051333333333333335,0.05566666666666668,0.05733333333333333,0.050666666666666665,0.04566666666666667,0.016666666666666666,0.3403333333333332,1993,April
16,0.04428571428571428,0.011785714285714287,0.019285714285714288,0.06892857142857144,0.030000000000000002,0.013214285714285715,0.12571428571428572,1993,May
17,0.02366666666666667,0.05566666666666666,0.029000000000000005,0.029333333333333333,0.018666666666666668,0.024000000000000004,0.10099999999999999,1993,June
18,0.0,0.10266666666666667,0.069,0.0,0.0,0.01933333333333333,0.02066666666666667,1993,July
19,0.0,0.010967741935483872,0.012580645161290325,0.0,0.0,0.005483870967741936,0.005483870967741936,1993,August
20,0.0,0.005333333333333333,0.0,0.0,0.0,0.001,0.0003333333333333333,1993,September
21,0.037096774193548385,0.0006451612903225806,0.01838709677419355,0.05870967741935484,0.01967741935483871,0.0022580645161290325,0.05,1993,October
22,0.12285714285714286,0.008928571428571428,0.007857142857142858,0.11607142857142858,0.0975,0.0075,0.0575,1993,November
23,0.12500000000000003,0.08999999999999998,0.03571428571428571,0.11142857142857143,0.14285714285714285,0.031785714285714285,0.4282142857142858,1993,December
24,0.08793103448275862,0.011034482758620692,0.018620689655172416,0.11241379310344826,0.08931034482758622,0.008620689655172415,0.2179310344827586,1994,January
25,0.12928571428571428,0.03035714285714286,0.011785714285714288,0.19500000000000003,0.29214285714285715,0.0375,0.4150000000000001,1994,February
26,0.006129032258064516,0.007096774193548388,0.0064516129032258064,0.007419354838709677,0.023870967741935485,0.0012903225806451613,0.20193548387096777,1994,March
27,0.042333333333333334,0.04633333333333334,0.034,0.044000000000000004,0.06066666666666666,0.030000000000000006,0.13599999999999995,1994,April
28,0.05064516129032258,0.022258064516129033,0.04903225806451613,0.04419354838709677,0.06387096774193549,0.039354838709677424,0.07064516129032258,1994,May
29,0.0013333333333333333,0.02666666666666667,0.009666666666666665,0.0016666666666666668,0.0,0.022000000000000002,0.06633333333333334,1994,June
30,0.0,0.0003225806451612903,0.0064516129032258064,0.0,0.0,0.0016129032258064516,0.0,1994,July
31,0.0,0.017096774193548388,0.0,0.0,0.0,0.001935483870967742,0.006129032258064517,1994,August
32,0.0,0.0,0.007333333333333333,0.0,0.002,0.003,0.06799999999999999,1994,September
33,0.04225806451612903,0.011290322580645162,0.04741935483870968,0.01903225806451613,0.01161290322580645,0.04387096774193548,0.2738709677419355,1994,October
34,0.18214285714285716,0.05964285714285715,0.054285714285714284,0.20285714285714285,0.15250000000000002,0.02035714285714286,0.465,1994,November
35,0.13464285714285712,0.055714285714285716,0.04392857142857143,0.135,0.11535714285714285,0.045,0.5585714285714285,1994,December
36,0.4610714285714286,0.15214285714285714,0.06678571428571428,0.6889285714285714,0.5660714285714287,0.13142857142857145,0.6553571428571427,1995,January
37,0.019285714285714288,0.009999999999999998,0.03785714285714286,0.029285714285714286,0.016785714285714286,0.011428571428571429,0.2885714285714286,1995,February
38,0.3861290322580645,0.08935483870967743,0.07129032258064516,0.4287096774193548,0.2738709677419355,0.04129032258064517,0.37709677419354837,1995,March
39,0.042,0.018666666666666668,0.03166666666666666,0.044333333333333336,0.17099999999999999,0.061000000000000006,0.23133333333333325,1995,April
40,0.1,0.01580645161290323,0.01064516129032258,0.060967741935483884,0.043225806451612905,0.020000000000000004,0.04935483870967742,1995,May
41,0.030000000000000002,0.03833333333333334,0.05566666666666666,0.034666666666666665,0.051333333333333335,0.020666666666666667,0.060666666666666674,1995,June
