wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2003,False,89.77,C+,7
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1988,False,88.84,C+,5
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2000,False,87.9,C+,6
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1989,False,87.8,B,4
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1983,False,87.53,C+,4
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1982,False,86.81,B,5
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1981,False,86.72,C,4
"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,1984,False,85.92,C,4
"Joseph Phelps Vineyards, Backus Vineyard Cabernet Sauvignon, Oakville",89560,Oakville,Red,,California,Usa,,2016,False,96.24,A,3
"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,1985,False,94.34,C+,4
"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,2009,False,90.94,C+,3
"Chateau Montelena, Cabernet Sauvignon, Napa Valley",39440,Napa Valley,Red,,California,Usa,,2006,False,87.93,B,4
"Colgin Cellars, Ix Estate Red, Napa Valley",44620,Napa Valley,Red,,California,Usa,,2006,False,97.44,B,7
"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2013,False,97.26,A,4
"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,2006,False,96.87,B,6
"Schrader Cellars, T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley",125502,Napa Valley,Red,,California,Usa,,2013,False,96.85,B,4
"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2015,False,96.85,B,3
"Abreu Vineyard, Cappella Proprietary Red, Napa Valley",816,Napa Valley,Red,,California,Usa,,2009,False,96.69,B+,3
"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2012,False,96.46,A,5
"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2008,False,96.39,A,5
"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,,California,Usa,,2009,False,96.05,B+,4
"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2002,False,95.52,C+,5
"Araujo Estate, Eisele Vineyard Cabernet Sauvignon, Napa Valley",5550,Napa Valley,Red,,California,Usa,,2007,False,94.82,C+,8
"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2005,False,98.22,B,4
"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2007,False,96.64,B,4
"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2002,False,95.64,B+,3
"Paul Hobbs, Beckstoffer Las Piedras Vineyard Cabernet Sauvignon, St Helena",113411,St Helena,Red,,California,Usa,,2016,False,95.78,C+,3
"Paul Hobbs, Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon, St Helena",113410,St Helena,Red,,California,Usa,,2016,False,95.36,B,3
"Paul Hobbs, Cabernet Sauvignon, Napa Valley",113413,Napa Valley,Red,,California,Usa,,2016,False,91.85,A,3
"Doubleback, Cabernet Sauvignon, Walla Walla Valley",67468,Walla Walla Valley,Red,,Washington,Usa,,2016,False,93.8,A+,3
"Abreu Vineyard, Madrona Ranch Cabernet Sauvignon, Napa Valley",819,Napa Valley,Red,,California,Usa,,2009,False,97.83,B,3
"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,2009,False,95.39,B+,9
"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1999,False,94.11,B,4
"Ridge Vineyards, Lytton Springs, Dry Creek Valley",120782,Dry Creek Valley,Red,,California,Usa,,2007,False,92.2,C+,3
"Ridge Vineyards, Geyserville Zinfandel, Alexander Valley",120777,Alexander Valley,Red,,California,Usa,,2007,False,90.5,C+,4
