,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
49,"Robert Craig Winery, Howell Mountain Cabernet Sauvignon, Napa Valley",121297,Napa Valley,Red,,California,Usa,,2010,False,92.05,B+,5
50,"Turnbull Wine Cellars, Leopoldina Vineyard Cabernet Sauvignon, Oakville",137302,Oakville,Red,,California,Usa,,2010,False,91.75,B,5
51,"Stag'S Leap Wine Cellars, Estate Cask 23 Cabernet Sauvignon, Napa Valley",129784,Napa Valley,Red,,California,Usa,,2010,False,91.62,C+,4
52,"Cliff Lede Vineyards, Cabernet Sauvignon, Stags Leap District",43378,Stags Leap District,Red,,California,Usa,,2010,False,90.48,A,6
53,"Silverado Vineyards, Solo Cabernet Sauvignon, Stags Leap District",127659,Stags Leap District,Red,,California,Usa,,2010,False,90.4,C,4
54,"Frog'S Leap, Cabernet Sauvignon, Napa Valley",77082,Napa Valley,Red,,California,Usa,,2010,False,88.89,B,4
55,"Inglenook, Reserve Cask Cabernet Sauvignon, Napa Valley",85558,Napa Valley,Red,,California,Usa,,2010,False,88.42,B,3
56,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1995,False,92.17,B+,4
57,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,,California,Usa,,1987,False,91.34,B,3
58,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2015,False,97.59,C+,6
59,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2013,False,97.0,B,4
60,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2012,False,95.22,A,6
61,"Promontory, Napa Valley",117679,Napa Valley,Red,,California,Usa,,2011,False,93.64,B+,5
62,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,1974,False,89.6,B,4
63,"La Jota Vineyard, Anniversary Heritage Release Cabernet Sauvignon, Howell Mountain",92779,Howell Mountain,Red,,California,Usa,,1996,False,94.18,A,4
64,"Continuum, Proprietary Red, Oakville",45683,Oakville,Red,,California,Usa,,2014,False,93.57,C,3
65,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,,California,Usa,,1978,False,92.34,A+,6
66,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2016,False,97.74,B,3
67,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2016,False,97.34,B+,3
68,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2015,False,95.71,B+,5
69,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,2013,False,93.66,B,6
70,"Araujo Estate, Eisele Vineyard Syrah, Napa Valley",5552,Napa Valley,Red,,California,Usa,,2001,False,93.51,A,3
71,"Continuum, Proprietary Red, Oakville",45683,Oakville,Red,,California,Usa,,2015,False,99.85,C,3
72,"Seavey Vineyard, Cabernet Sauvignon, Napa Valley",125854,Napa Valley,Red,,California,Usa,,2013,False,95.88,B,3
73,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,,California,Usa,,1995,False,92.7,C+,3
74,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,,California,Usa,,1978,False,85.33,C,4
75,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,2005,False,93.61,C,5
76,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,,California,Usa,,2015,False,94.41,B,4
77,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2008,False,93.43,C+,6
78,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2015,False,95.1,B,4
79,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2005,False,91.41,C,7
80,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2016,False,97.09,B+,3
81,"Joseph Phelps Vineyards, Cabernet Sauvignon, Napa Valley",89561,Napa Valley,Red,,California,Usa,,2016,False,90.56,A+,3
82,"Gallica, Cabernet Sauvignon, Oakville",77600,Oakville,Red,,California,Usa,,2010,False,93.32,B,10
83,"Cain Vineyard & Winery, Cain Five, Spring Mountain District",23254,Spring Mountain District,Red,,California,Usa,,1997,False,91.99,B,7
84,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,,California,Usa,,1990,False,96.2,B,6
85,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,1999,False,92.45,B,4
86,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,,California,Usa,,2009,False,91.43,C+,3
87,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,,California,Usa,,2006,False,87.42,C,4
88,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2016,False,97.47,A+,4
89,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2005,False,94.12,B+,3
