wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2015,False,92.87,B,3
"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2011,False,90.46,B,4
"Stag'S Leap Wine Cellars, Karia Chardonnay, White, Napa Valley",129796,Napa Valley,White,dry,California,Usa,,2015,False,88.32,B+,5
"Ferrari-Carano, Dominique Vineyard Chardonnay, White, Russian River Valley",73116,Russian River Valley,White,dry,California,Usa,,2015,False,89.63,B+,3
"Ferrari-Carano, Fiorella Vineyard Chardonnay, White, Russian River Valley",73120,Russian River Valley,White,dry,California,Usa,,2015,False,89.22,B,3
"Ferrari-Carano, Emelia'S Cuvee Chardonnay, White, Russian River Valley",73119,Russian River Valley,White,dry,California,Usa,,2015,False,88.67,B,3
"Ferrari-Carano, Reserve Chardonnay, White, Carneros",73129,Carneros,White,dry,California,Usa,,2015,False,88.07,B,3
"Duckhorn Vineyards, Sauvignon Blanc, White, Napa Valley",68067,Napa Valley,White,dry,California,Usa,,2016,False,85.94,A,3
"Kenefick Ranch, Sauvignon Blanc, White, Napa Valley",90640,Napa Valley,White,dry,California,Usa,,2016,False,85.63,A+,3
"Ghost Block, Morgan Lee Vineyard Sauvignon Blanc, White, Yountville",78679,Yountville,White,dry,California,Usa,,2016,False,84.38,C,3
"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,,2015,False,95.41,B,3
"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,,2015,False,94.15,B+,3
"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,,2015,False,93.42,A,3
"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,,2015,False,93.24,B,4
"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,,2015,False,93.14,B+,4
"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2015,False,90.97,A+,3
"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2015,False,89.83,A,3
"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,,2015,False,93.4,B,3
"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2014,False,90.88,B,4
"Beringer Vineyards, 'Luminus' Chardonnay, White, Oak Knoll District",10973,Oak Knoll District,White,dry,California,Usa,,2015,False,90.14,B,4
"Keever Vineyards, Sauvignon Blanc, White, Napa Valley",90457,Napa Valley,White,dry,California,Usa,,2016,False,88.37,B,3
"Stags' Leap Winery, Chardonnay, White, Napa Valley",129823,Napa Valley,White,dry,California,Usa,,2014,False,88.16,B,3
"Mount Eden Vineyards, Chardonnay, White, Santa Cruz Mountains",107658,Santa Cruz Mountains,White,dry,California,Usa,,2013,False,93.12,A,3
"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2015,False,91.63,B,4
"Keever Vineyards, Sauvignon Blanc, White, Napa Valley",90457,Napa Valley,White,dry,California,Usa,,2015,False,91.41,A+,3
"Joseph Phelps Vineyards, Sauvignon Blanc, White, Napa Valley",89580,Napa Valley,White,dry,California,Usa,,2015,False,91.33,B,3
"Flora Springs, Soliloquy Vineyard Sauvignon Blanc, White, Oakville",74748,Oakville,White,dry,California,Usa,,2015,False,89.3,B,3
"Kenefick Ranch, Sauvignon Blanc, White, Napa Valley",90640,Napa Valley,White,dry,California,Usa,,2015,False,88.51,B,4
"Duckhorn Vineyards, Sauvignon Blanc, White, Napa Valley",68067,Napa Valley,White,dry,California,Usa,,2015,False,88.34,B+,4
"Girard, Sauvignon Blanc, White, Napa Valley",79047,Napa Valley,White,dry,California,Usa,,2015,False,87.55,B+,4
"Rombauer Vineyards, Sauvignon Blanc, White, Napa Valley",122382,Napa Valley,White,dry,California,Usa,,2016,False,87.29,B,3
"Clos Du Val, Winemaker'S Signature Series Three Graces White Blend, White, Napa Valley",43845,Napa Valley,White,dry,California,Usa,,2014,False,90.61,C,3
"Peter Michael Winery, Cuvee Indigene Chardonnay, White, Sonoma County",114823,Sonoma County,White,dry,California,Usa,,2014,False,94.83,B,3
"Aubert Wines, Ritchie Vineyard Chardonnay, White, Sonoma Coast",6887,Sonoma Coast,White,dry,California,Usa,,2015,False,97.43,A+,3
"Aubert Wines, Uv-Sl Vineyards Chardonnay, White, Sonoma Coast",6893,Sonoma Coast,White,dry,California,Usa,,2015,False,97.22,B,4
"Aubert Wines, Hudson Vineyard Chardonnay, White, Carneros",148030,Carneros,White,dry,California,Usa,,2015,False,96.34,A,4
"Aubert Wines, Sugar Shack Estate Chardonnay, White, Napa Valley",6875,Napa Valley,White,dry,California,Usa,,2015,False,95.64,B,4
"Aubert Wines, Larry Hyde & Sons Vineyard Chardonnay, White, Carneros",6880,Carneros,White,dry,California,Usa,,2015,False,94.8,A,5
"Joseph Phelps Vineyards, Freestone Pastorale Vineyard Chardonnay, White, Sonoma Coast",89571,Sonoma Coast,White,dry,California,Usa,,2013,False,91.58,B+,4
"Peter Michael Winery, Cuvee Indigene Chardonnay, White, Sonoma County",114823,Sonoma County,White,dry,California,Usa,,2013,False,93.77,B,4
"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2015,False,93.11,B,3
"Marimar Estate, 'Acero' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101910,Russian River Valley,White,dry,California,Usa,,2015,False,89.47,B,3
"Evening Land, Gold Label Seven Springs Vineyard La Source Chardonnay, White, Eola-Amity Hills",71165,Eola-Amity Hills,White,dry,Oregon,Usa,,2013,False,91.27,C,3
"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2013,False,89.29,A,3
"Ramey Wine Cellars, Hyde Vineyard Chardonnay, White, Carneros",118765,Carneros,White,dry,California,Usa,,2014,False,92.71,B+,3
"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,,2014,False,91.14,A,4
"Delille Cellars, Chaleur Estate Blanc, White, Columbia Valley",50042,Columbia Valley,White,dry,Washington,Usa,,2015,False,90.68,B,5
"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2014,False,92.78,B,4
"Ridge Vineyards Estate, Chardonnay, White, Santa Cruz Mountains",120758,Santa Cruz Mountains,White,dry,California,Usa,,2015,False,92.58,A+,3
"Kistler Vineyards, Hudson Vineyard Chardonnay, White, Carneros",91298,Carneros,White,dry,California,Usa,,2014,False,94.58,B+,4
"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2013,False,94.03,A,4
"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,,2014,False,93.52,B+,4
"Grgich Hills Estate, Paris Tasting Commemorative Chardonnay, White, Napa Valley",80587,Napa Valley,White,dry,California,Usa,,2014,False,91.04,B+,3
"Etude, Grace Benoist Ranch Chardonnay, White, Carneros",71021,Carneros,White,dry,California,Usa,,2014,False,88.45,B+,4
"Rombauer Vineyards, Chardonnay, White, Carneros",122372,Carneros,White,dry,California,Usa,,2015,False,88.23,C,3
"Ridge Vineyards Estate, Chardonnay, White, Santa Cruz Mountains",120758,Santa Cruz Mountains,White,dry,California,Usa,,2014,False,93.11,A,4
"Silverado Vineyards, 'Vineburg Vineyard' Chardonnay, White, Carneros",127639,Carneros,White,dry,California,Usa,,2013,False,87.35,C,3
"Silverado Vineyards, Miller Ranch Sauvignon Blanc, White, Napa Valley",127648,Napa Valley,White,dry,California,Usa,,2014,False,87.21,B,3
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2014,False,96.85,B,3
"Delille Cellars, Doyenne Roussanne, White, Red Mountain",50050,Red Mountain,White,dry,Washington,Usa,,2015,False,90.81,C+,3
"Martinelli, Zio Tony Ranch Chardonnay, White, Russian River Valley",102677,Russian River Valley,White,dry,California,Usa,,2014,False,94.48,A+,3
"Martinelli, Lolita Ranch Chardonnay, White, Russian River Valley",102656,Russian River Valley,White,dry,California,Usa,,2014,False,94.08,A+,3
"Martinelli, Road' Chardonnay, White, Russian River Valley",102662,Russian River Valley,White,dry,California,Usa,,2014,False,93.8,B,3
"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,,2014,False,93.25,B,4
"Forman Vineyard, Chardonnay, White, Napa Valley",75323,Napa Valley,White,dry,California,Usa,,2015,False,91.82,B+,3
"Freemark Abbey, Chardonnay, White, Napa Valley",76832,Napa Valley,White,dry,California,Usa,,2015,False,89.19,A+,4
"Ramey Wine Cellars, Hyde Vineyard Chardonnay, White, Carneros",118765,Carneros,White,dry,California,Usa,,2013,False,92.32,B,3
"Beringer Vineyards, Private Reserve Chardonnay, White, Napa Valley",11030,Napa Valley,White,dry,California,Usa,,2015,False,91.32,B,5
"Larkmead Vineyards, Lillie Sauvignon Blanc, White, Napa Valley",94122,Napa Valley,White,dry,California,Usa,,2015,False,91.07,B,3
"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,,2014,False,94.43,B,4
"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2014,False,94.42,B,4
"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,,2014,False,94.13,B+,4
"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,,2014,False,94.12,B,4
"Paul Hobbs, Ulises Valdez Vineyard Chardonnay, White, Russian River Valley",113430,Russian River Valley,White,dry,California,Usa,,2014,False,93.58,C+,4
"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,,2014,False,93.5,A+,4
"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,,2014,False,93.37,C+,4
"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,,2014,False,93.16,B,5
"Peter Michael Winery, La Carriere Chardonnay, White, Knights Valley",114826,Knights Valley,White,dry,California,Usa,,2014,False,92.78,C+,4
"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,,2014,False,92.75,B,5
"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2014,False,90.8,A,3
"Joseph Phelps Vineyards, Freestone Chardonnay, White, Sonoma Coast",89569,Sonoma Coast,White,dry,California,Usa,,2014,False,90.65,B,4
"Marimar Estate, 'La Masia' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101912,Russian River Valley,White,dry,California,Usa,,2014,False,88.22,A+,3
"Aubert Wines, Sugar Shack Estate Chardonnay, White, Napa Valley",6875,Napa Valley,White,dry,California,Usa,,2014,False,95.13,B+,3
"Aubert Wines, Hudson Vineyard Chardonnay, White, Carneros",148030,Carneros,White,dry,California,Usa,,2014,False,94.91,B+,3
"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2014,False,92.88,A,5
"Domaine Serene, 'Dijon Clones - Cote Sud Vineyard' Chardonnay, White, Willamette Valley",65475,Willamette Valley,White,dry,Oregon,Usa,,2014,False,93.03,B,4
"Kistler Vineyards, Hyde Vineyard Chardonnay, White, Carneros",91299,Carneros,White,dry,California,Usa,,2014,False,92.29,B,3
"Favia, Linea' Sauvignon Blanc, White, Coombsville",72716,Coombsville,White,dry,California,Usa,,2015,False,91.75,C,3
"Domaine Serene, Clos de Lune Vineyard Chardonnay, White, Dundee Hills",151373,Dundee Hills,White,,Oregon,Usa,,2014,False,91.57,A+,4
"Kistler Vineyards, Les Noisetiers Chardonnay, White, Sonoma Coast",91301,Sonoma Coast,White,dry,California,Usa,,2015,False,91.48,A,3
"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2015,False,89.97,B,4
"Kistler Vineyards, Hyde Vineyard Chardonnay, White, Carneros",91299,Carneros,White,dry,California,Usa,,2010,False,94.76,C+,3
"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,,2012,False,89.62,C,4
"Beringer Vineyards, Private Reserve Chardonnay, White, Napa Valley",11030,Napa Valley,White,dry,California,Usa,,2014,False,92.37,B,3
"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2014,False,93.45,B,4
"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2013,False,91.86,B+,5
"Duckhorn Vineyards, Chardonnay, White, Napa Valley",68059,Napa Valley,White,dry,California,Usa,,2014,False,89.12,A,3
"Kistler Vineyards, Les Noisetiers Chardonnay, White, Sonoma Coast",91301,Sonoma Coast,White,dry,California,Usa,,2014,False,90.97,B+,3
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2010,False,96.58,B,4
"Newton Vineyard, Unfiltered Chardonnay, White, Napa Valley",109014,Napa Valley,White,dry,California,Usa,,2013,False,90.99,B,3
"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2014,False,91.68,B+,3
"Favia, Linea' Sauvignon Blanc, White, Coombsville",72716,Coombsville,White,dry,California,Usa,,2014,False,91.91,B,3
"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2013,False,89.38,A,7
"Marimar Estate, Don Miguel Vineyard Albarino, White, Russian River Valley",101916,Russian River Valley,White,dry,California,Usa,,2013,False,88.7,B,3
"Charles Krug Peter Mondavi Family, Sauvignon Blanc, White, St Helena",31803,St Helena,White,dry,California,Usa,,2013,False,86.92,C+,4
"Trefethen Family Vineyards, Chardonnay, White, Oak Knoll District",136480,Oak Knoll District,White,dry,California,Usa,,2013,False,93.93,C,3
"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2012,False,93.16,C,5
"Shafer Vineyards, Red Shoulder Ranch Chardonnay, White, Carneros",126751,Carneros,White,dry,California,Usa,,2012,False,92.99,C+,7
"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2013,False,89.61,B,3
"Truchard Vineyards, Chardonnay, White, Carneros",136966,Carneros,White,dry,California,Usa,,2014,False,87.19,C,4
"O'Shaughnessy Estate Winery, Chardonnay, White, Oakville",110037,Oakville,White,dry,California,Usa,,2014,False,89.22,C,3
"Marimar Estate, 'Acero' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101910,Russian River Valley,White,dry,California,Usa,,2014,False,89.54,B,3
"Marimar Estate, 'La Masia' Don Miguel Vineyard Chardonnay, White, Russian River Valley",101912,Russian River Valley,White,dry,California,Usa,,2013,False,88.19,B,5
"Stag'S Leap Wine Cellars, Karia Chardonnay, White, Napa Valley",129796,Napa Valley,White,dry,California,Usa,,2014,False,88.33,B,4
"Domaine Serene, Etoile Vineyard Chardonnay, White, Dundee Hills",65490,Dundee Hills,White,dry,Oregon,Usa,,2013,False,92.4,B,5
"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2006,False,95.05,B,5
"Araujo Estate, Eisele Vineyard Sauvignon Blanc, White, Napa Valley",5551,Napa Valley,White,dry,California,Usa,,2014,False,92.32,C,5
"Kistler Vineyards, Hudson Vineyard Chardonnay, White, Carneros",91298,Carneros,White,dry,California,Usa,,2013,False,93.22,C+,3
"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2013,False,91.93,B,4
"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2013,False,91.14,B,3
"Domaine Serene, Clos de Lune Vineyard Chardonnay, White, Dundee Hills",151373,Dundee Hills,White,,Oregon,Usa,,2013,False,90.88,C+,4
"Peter Michael Winery, La Carriere Chardonnay, White, Knights Valley",114826,Knights Valley,White,dry,California,Usa,,2013,False,95.08,B+,5
"Aubert Wines, Larry Hyde & Sons Vineyard Chardonnay, White, Carneros",6880,Carneros,White,dry,California,Usa,,2012,False,93.94,A,4
"Screaming Eagle, Sauvignon Blanc, White, Oakville",125714,Oakville,White,dry,California,Usa,,2013,False,90.19,C+,3
"Domaine Serene, Clos Du Soleil Vineyard Chardonnay, White, Dundee Hills",65489,Dundee Hills,White,dry,Oregon,Usa,,2012,False,92.4,A+,3
"Peter Michael Winery, L'Apres-Midi Sauvignon Blanc, White, Knights Valley",114824,Knights Valley,White,dry,California,Usa,,2014,False,92.49,A,3
"Alpha Omega, Chardonnay, White, Napa Valley",3221,Napa Valley,White,dry,California,Usa,,2012,False,89.95,B,4
"Domaine Serene, 'Evenstad Reserve' Chardonnay, White, Dundee Hills",65476,Dundee Hills,White,dry,Oregon,Usa,,2012,False,92.67,B+,5
"Domaine Serene, 'Dijon Clones - Cote Sud Vineyard' Chardonnay, White, Willamette Valley",65475,Willamette Valley,White,dry,Oregon,Usa,,2013,False,90.82,A+,3
"Peter Michael Winery, Point Rouge Chardonnay, White, Sonoma County",114834,Sonoma County,White,dry,California,Usa,,2013,False,95.62,B,3
"Paul Hobbs, Ulises Valdez Vineyard Chardonnay, White, Russian River Valley",113430,Russian River Valley,White,dry,California,Usa,,2013,False,93.9,B,3
"Martinelli, Zio Tony Ranch Chardonnay, White, Russian River Valley",102677,Russian River Valley,White,dry,California,Usa,,2013,False,93.2,B,3
"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2012,False,92.9,B+,5
"Paul Hobbs, Ross Station Estatechardonnay, White, Russian River Valley",113427,Russian River Valley,White,dry,California,Usa,,2013,False,92.22,B,4
"Paul Hobbs, Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113425,Sonoma Mountain,White,dry,California,Usa,,2013,False,91.02,B+,3
"Freemark Abbey, Chardonnay, White, Napa Valley",76832,Napa Valley,White,dry,California,Usa,,2014,False,89.84,A+,3
"Beringer Vineyards, 'Luminus' Chardonnay, White, Oak Knoll District",10973,Oak Knoll District,White,dry,California,Usa,,2014,False,89.28,B,3
"Beringer Vineyards, Chardonnay, White, Napa Valley",10992,Napa Valley,White,dry,California,Usa,,2014,False,87.73,B+,3
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2013,False,97.94,B,3
"Kongsgaard, Chardonnay, White, Napa Valley",91585,Napa Valley,White,dry,California,Usa,,2013,False,95.07,A,3
"Pahlmeyer, Napa Valley Chardonnay, White, Napa Valley",111897,Napa Valley,White,dry,California,Usa,,2013,False,92.52,B,6
"Paul Hobbs, Edward James Estate Chardonnay, White, Russian River Valley",113417,Russian River Valley,White,dry,California,Usa,,2013,False,92.1,B,4
"Evening Land, White Label 'Seven Springs Vineyard - Summum' Chardonnay, White, Eola-Amity Hills",71176,Eola-Amity Hills,White,dry,Oregon,Usa,,2007,False,92.06,B,5
"Paul Hobbs, Cuvee Agustina Richard Dinner Vineyard Chardonnay, White, Sonoma Mountain",113415,Sonoma Mountain,White,dry,California,Usa,,2013,False,91.77,B,3
"Delille Cellars, Chaleur Estate Blanc, White, Columbia Valley",50042,Columbia Valley,White,dry,Washington,Usa,,2014,False,91.51,B,4
"Paul Hobbs, Chardonnay, White, Russian River Valley",113414,Russian River Valley,White,dry,California,Usa,,2013,False,90.01,A+,3
"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2001,False,89.58,B+,3
"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2009,False,89.32,B,5
"Chateau Montelena, Chardonnay, White, Napa Valley",39443,Napa Valley,White,dry,California,Usa,,2013,False,88.38,B,3
"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2012,False,95.24,B,5
"Araujo Estate, Eisele Vineyard Sauvignon Blanc, White, Napa Valley",5551,Napa Valley,White,dry,California,Usa,,2010,False,92.4,C+,3
"Peter Michael Winery, Mon Plaisir Chardonnay, White, Sonoma County",114832,Sonoma County,White,dry,California,Usa,,2013,False,94.67,B,4
"Peter Michael Winery, Belle Cote Chardonnay, White, Sonoma County",114819,Sonoma County,White,dry,California,Usa,,2013,False,93.95,C+,4
"Peter Michael Winery, Ma Belle-Fille Chardonnay, White, Knights Valley",114830,Knights Valley,White,dry,California,Usa,,2013,False,93.68,B,4
"Paul Hobbs, Ellen Lane Estate Vineyard Chardonnay, White, Russian River Valley",113418,Russian River Valley,White,dry,California,Usa,,2013,False,92.48,B,3
"Spottswoode, Sauvignon Blanc, White, Napa County",129358,Napa County,White,dry,California,Usa,,2014,False,89.94,B,4
"Silverado Vineyards Estate, Chardonnay, White, Carneros",127638,Carneros,White,dry,California,Usa,,2013,False,88.37,A+,3
"Mayacamas Vineyards, Chardonnay, White, Napa Valley",103767,Napa Valley,White,dry,California,Usa,,2012,False,90.09,C+,4
"Ridge Vineyards, Monte Bello Chardonnay, White, Santa Cruz Mountains",120785,Santa Cruz Mountains,White,dry,California,Usa,,2008,False,91.65,C+,5
"Joseph Phelps Vineyards, Sauvignon Blanc, White, Napa Valley",89580,Napa Valley,White,dry,California,Usa,,2014,False,89.21,B,3
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2009,False,95.7,B,5
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2007,False,95.46,B,4
"Kongsgaard, The Judge Chardonnay, White, Napa Valley",91591,Napa Valley,White,dry,California,Usa,,2008,False,94.35,B,5
"Morlet Family Vineyards, La Proportion Doree, White, Sonoma County",107396,Sonoma County,White,dry,California,Usa,,2013,False,91.96,C+,3
